Vivado Simulator 2016.2
Time resolution is 1 ps
Test:  0 =  0*63 +  0 passed
Test: 43 = 14* 3 +  1 passed
Test: 43 = 15* 2 + 13 passed
Test: 44 =  0*63 + 12 passed
Test: 44 =  1*44 +  0 passed
Test: 44 =  2*22 +  0 passed
Test: 44 =  3*14 +  2 passed
Test: 44 =  4*11 +  0 passed
Test: 44 =  5* 8 +  4 passed
Test: 44 =  6* 7 +  2 passed
Test: 44 =  7* 6 +  2 passed
Test: 44 =  8* 5 +  4 passed
Test: 44 =  9* 4 +  8 passed
Test: 44 = 10* 4 +  4 passed
Test: 44 = 11* 4 +  0 passed
Test: 44 = 12* 3 +  8 passed
Test: 44 = 13* 3 +  5 passed
Test: 44 = 14* 3 +  2 passed
Test: 44 = 15* 2 + 14 passed
Test: 45 =  0*63 + 13 passed
Test: 45 =  1*45 +  0 passed
Test: 45 =  2*22 +  1 passed
Test: 45 =  3*15 +  0 passed
Test: 45 =  4*11 +  1 passed
Test: 45 =  5* 9 +  0 passed
Test: 45 =  6* 7 +  3 passed
Test: 45 =  7* 6 +  3 passed
Test: 45 =  8* 5 +  5 passed
Test: 45 =  9* 5 +  0 passed
Test: 45 = 10* 4 +  5 passed
Test: 45 = 11* 4 +  1 passed
Test: 45 = 12* 3 +  9 passed
Test: 45 = 13* 3 +  6 passed
Test: 45 = 14* 3 +  3 passed
Test: 45 = 15* 3 +  0 passed
Test: 46 =  0*63 + 14 passed
Test: 46 =  1*46 +  0 passed
Test: 46 =  2*23 +  0 passed
Test: 46 =  3*15 +  1 passed
Test: 46 =  4*11 +  2 passed
Test: 46 =  5* 9 +  1 passed
Test: 46 =  6* 7 +  4 passed
Test: 46 =  7* 6 +  4 passed
Test: 46 =  8* 5 +  6 passed
Test: 46 =  9* 5 +  1 passed
Test: 46 = 10* 4 +  6 passed
Test: 46 = 11* 4 +  2 passed
Test: 46 = 12* 3 + 10 passed
Test: 46 = 13* 3 +  7 passed
Test: 46 = 14* 3 +  4 passed
Test: 46 = 15* 3 +  1 passed
Test: 47 =  0*63 + 15 passed
Test: 47 =  1*47 +  0 passed
Test: 47 =  2*23 +  1 passed
Test: 47 =  3*15 +  2 passed
Test: 47 =  4*11 +  3 passed
Test: 47 =  5* 9 +  2 passed
Test: 47 =  6* 7 +  5 passed
Test: 47 =  7* 6 +  5 passed
Test: 47 =  8* 5 +  7 passed
Test: 47 =  9* 5 +  2 passed
Test: 47 = 10* 4 +  7 passed
Test: 47 = 11* 4 +  3 passed
Test: 47 = 12* 3 + 11 passed
Test: 47 = 13* 3 +  8 passed
Test: 47 = 14* 3 +  5 passed
Test: 47 = 15* 3 +  2 passed
Test: 48 =  0*63 +  0 passed
Test: 48 =  1*48 +  0 passed
Test: 48 =  2*24 +  0 passed
Test: 48 =  3*16 +  0 passed
Test: 48 =  4*12 +  0 passed
Test: 48 =  5* 9 +  3 passed
Test: 48 =  6* 8 +  0 passed
Test: 48 =  7* 6 +  6 passed
Test: 48 =  8* 6 +  0 passed
Test: 48 =  9* 5 +  3 passed
Test: 48 = 10* 4 +  8 passed
Test: 48 = 11* 4 +  4 passed
Test: 48 = 12* 4 +  0 passed
Test: 48 = 13* 3 +  9 passed
Test: 48 = 14* 3 +  6 passed
Test: 48 = 15* 3 +  3 passed
Test: 49 =  0*63 +  1 passed
Test: 49 =  1*49 +  0 passed
Test: 49 =  2*24 +  1 passed
Test: 49 =  3*16 +  1 passed
Test: 49 =  4*12 +  1 passed
Test: 49 =  5* 9 +  4 passed
Test: 49 =  6* 8 +  1 passed
Test: 49 =  7* 7 +  0 passed
Test: 49 =  8* 6 +  1 passed
Test: 49 =  9* 5 +  4 passed
Test: 49 = 10* 4 +  9 passed
Test: 49 = 11* 4 +  5 passed
Test: 49 = 12* 4 +  1 passed
Test: 49 = 13* 3 + 10 passed
Test: 49 = 14* 3 +  7 passed
Test: 49 = 15* 3 +  4 passed
Test: 50 =  0*63 +  2 passed
Test: 50 =  1*50 +  0 passed
Test: 50 =  2*25 +  0 passed
Test: 50 =  3*16 +  2 passed
Test: 50 =  4*12 +  2 passed
Test: 50 =  5*10 +  0 passed
Test: 50 =  6* 8 +  2 passed
Test: 50 =  7* 7 +  1 passed
Test: 50 =  8* 6 +  2 passed
Test: 50 =  9* 5 +  5 passed
Test: 50 = 10* 5 +  0 passed
Test: 50 = 11* 4 +  6 passed
Test: 50 = 12* 4 +  2 passed
Test: 50 = 13* 3 + 11 passed
Test: 50 = 14* 3 +  8 passed
Test: 50 = 15* 3 +  5 passed
Test: 51 =  0*63 +  3 passed
Test: 51 =  1*51 +  0 passed
Test: 51 =  2*25 +  1 passed
Test: 51 =  3*17 +  0 passed
Test: 51 =  4*12 +  3 passed
Test: 51 =  5*10 +  1 passed
Test: 51 =  6* 8 +  3 passed
Test: 51 =  7* 7 +  2 passed
Test: 51 =  8* 6 +  3 passed
Test: 51 =  9* 5 +  6 passed
Test: 51 = 10* 5 +  1 passed
Test: 51 = 11* 4 +  7 passed
Test: 51 = 12* 4 +  3 passed
Test: 51 = 13* 3 + 12 passed
Test: 51 = 14* 3 +  9 passed
Test: 51 = 15* 3 +  6 passed
Test: 52 =  0*63 +  4 passed
Test: 52 =  1*52 +  0 passed
Test: 52 =  2*26 +  0 passed
Test: 52 =  3*17 +  1 passed
Test: 52 =  4*13 +  0 passed
Test: 52 =  5*10 +  2 passed
Test: 52 =  6* 8 +  4 passed
Test: 52 =  7* 7 +  3 passed
Test: 52 =  8* 6 +  4 passed
Test: 52 =  9* 5 +  7 passed
Test: 52 = 10* 5 +  2 passed
Test: 52 = 11* 4 +  8 passed
Test: 52 = 12* 4 +  4 passed
Test: 52 = 13* 4 +  0 passed
Test: 52 = 14* 3 + 10 passed
Test: 52 = 15* 3 +  7 passed
Test: 53 =  0*63 +  5 passed
Test: 53 =  1*53 +  0 passed
Test: 53 =  2*26 +  1 passed
Test: 53 =  3*17 +  2 passed
Test: 53 =  4*13 +  1 passed
Test: 53 =  5*10 +  3 passed
Test: 53 =  6* 8 +  5 passed
Test: 53 =  7* 7 +  4 passed
Test: 53 =  8* 6 +  5 passed
Test: 53 =  9* 5 +  8 passed
Test: 53 = 10* 5 +  3 passed
Test: 53 = 11* 4 +  9 passed
Test: 53 = 12* 4 +  5 passed
Test: 53 = 13* 4 +  1 passed
Test: 53 = 14* 3 + 11 passed
Test: 53 = 15* 3 +  8 passed
Test: 54 =  0*63 +  6 passed
Test: 54 =  1*54 +  0 passed
Test: 54 =  2*27 +  0 passed
Test: 54 =  3*18 +  0 passed
Test: 54 =  4*13 +  2 passed
Test: 54 =  5*10 +  4 passed
Test: 54 =  6* 9 +  0 passed
Test: 54 =  7* 7 +  5 passed
Test: 54 =  8* 6 +  6 passed
Test: 54 =  9* 6 +  0 passed
Test: 54 = 10* 5 +  4 passed
Test: 54 = 11* 4 + 10 passed
Test: 54 = 12* 4 +  6 passed
Test: 54 = 13* 4 +  2 passed
Test: 54 = 14* 3 + 12 passed
Test: 54 = 15* 3 +  9 passed
Test: 55 =  0*63 +  7 passed
Test: 55 =  1*55 +  0 passed
Test: 55 =  2*27 +  1 passed
Test: 55 =  3*18 +  1 passed
Test: 55 =  4*13 +  3 passed
Test: 55 =  5*11 +  0 passed
Test: 55 =  6* 9 +  1 passed
Test: 55 =  7* 7 +  6 passed
Test: 55 =  8* 6 +  7 passed
Test: 55 =  9* 6 +  1 passed
Test: 55 = 10* 5 +  5 passed
Test: 55 = 11* 5 +  0 passed
Test: 55 = 12* 4 +  7 passed
Test: 55 = 13* 4 +  3 passed
Test: 55 = 14* 3 + 13 passed
Test: 55 = 15* 3 + 10 passed
Test: 56 =  0*63 +  8 passed
Test: 56 =  1*56 +  0 passed
Test: 56 =  2*28 +  0 passed
Test: 56 =  3*18 +  2 passed
Test: 56 =  4*14 +  0 passed
Test: 56 =  5*11 +  1 passed
Test: 56 =  6* 9 +  2 passed
Test: 56 =  7* 8 +  0 passed
Test: 56 =  8* 7 +  0 passed
Test: 56 =  9* 6 +  2 passed
Test: 56 = 10* 5 +  6 passed
Test: 56 = 11* 5 +  1 passed
Test: 56 = 12* 4 +  8 passed
Test: 56 = 13* 4 +  4 passed
Test: 56 = 14* 4 +  0 passed
Test: 56 = 15* 3 + 11 passed
Test: 57 =  0*63 +  9 passed
Test: 57 =  1*57 +  0 passed
Test: 57 =  2*28 +  1 passed
Test: 57 =  3*19 +  0 passed
Test: 57 =  4*14 +  1 passed
Test: 57 =  5*11 +  2 passed
Test: 57 =  6* 9 +  3 passed
Test: 57 =  7* 8 +  1 passed
Test: 57 =  8* 7 +  1 passed
Test: 57 =  9* 6 +  3 passed
Test: 57 = 10* 5 +  7 passed
Test: 57 = 11* 5 +  2 passed
Test: 57 = 12* 4 +  9 passed
Test: 57 = 13* 4 +  5 passed
Test: 57 = 14* 4 +  1 passed
Test: 57 = 15* 3 + 12 passed
Test: 58 =  0*63 + 10 passed
Test: 58 =  1*58 +  0 passed
Test: 58 =  2*29 +  0 passed
Test: 58 =  3*19 +  1 passed
Test: 58 =  4*14 +  2 passed
Test: 58 =  5*11 +  3 passed
Test: 58 =  6* 9 +  4 passed
Test: 58 =  7* 8 +  2 passed
Test: 58 =  8* 7 +  2 passed
Test: 58 =  9* 6 +  4 passed
Test: 58 = 10* 5 +  8 passed
Test: 58 = 11* 5 +  3 passed
Test: 58 = 12* 4 + 10 passed
Test: 58 = 13* 4 +  6 passed
Test: 58 = 14* 4 +  2 passed
Test: 58 = 15* 3 + 13 passed
Test: 59 =  0*63 + 11 passed
Test: 59 =  1*59 +  0 passed
Test: 59 =  2*29 +  1 passed
Test: 59 =  3*19 +  2 passed
Test: 59 =  4*14 +  3 passed
Test: 59 =  5*11 +  4 passed
Test: 59 =  6* 9 +  5 passed
Test: 59 =  7* 8 +  3 passed
Test: 59 =  8* 7 +  3 passed
Test: 59 =  9* 6 +  5 passed
Test: 59 = 10* 5 +  9 passed
Test: 59 = 11* 5 +  4 passed
Test: 59 = 12* 4 + 11 passed
Test: 59 = 13* 4 +  7 passed
Test: 59 = 14* 4 +  3 passed
Test: 59 = 15* 3 + 14 passed
Test: 60 =  0*63 + 12 passed
Test: 60 =  1*60 +  0 passed
Test: 60 =  2*30 +  0 passed
Test: 60 =  3*20 +  0 passed
Test: 60 =  4*15 +  0 passed
Test: 60 =  5*12 +  0 passed
Test: 60 =  6*10 +  0 passed
Test: 60 =  7* 8 +  4 passed
Test: 60 =  8* 7 +  4 passed
Test: 60 =  9* 6 +  6 passed
Test: 60 = 10* 6 +  0 passed
Test: 60 = 11* 5 +  5 passed
Test: 60 = 12* 5 +  0 passed
Test: 60 = 13* 4 +  8 passed
Test: 60 = 14* 4 +  4 passed
Test: 60 = 15* 4 +  0 passed
Test: 61 =  0*63 + 13 passed
Test: 61 =  1*61 +  0 passed
Test: 61 =  2*30 +  1 passed
Test: 61 =  3*20 +  1 passed
Test: 61 =  4*15 +  1 passed
Test: 61 =  5*12 +  1 passed
Test: 61 =  6*10 +  1 passed
Test: 61 =  7* 8 +  5 passed
Test: 61 =  8* 7 +  5 passed
Test: 61 =  9* 6 +  7 passed
Test: 61 = 10* 6 +  1 passed
Test: 61 = 11* 5 +  6 passed
Test: 61 = 12* 5 +  1 passed
Test: 61 = 13* 4 +  9 passed
Test: 61 = 14* 4 +  5 passed
Test: 61 = 15* 4 +  1 passed
Test: 62 =  0*63 + 14 passed
Test: 62 =  1*62 +  0 passed
Test: 62 =  2*31 +  0 passed
Test: 62 =  3*20 +  2 passed
Test: 62 =  4*15 +  2 passed
Test: 62 =  5*12 +  2 passed
Test: 62 =  6*10 +  2 passed
Test: 62 =  7* 8 +  6 passed
Test: 62 =  8* 7 +  6 passed
Test: 62 =  9* 6 +  8 passed
Test: 62 = 10* 6 +  2 passed
Test: 62 = 11* 5 +  7 passed
Test: 62 = 12* 5 +  2 passed
Test: 62 = 13* 4 + 10 passed
Test: 62 = 14* 4 +  6 passed
Test: 62 = 15* 4 +  2 passed
Test: 63 =  0*63 + 15 passed
Test: 63 =  1*63 +  0 passed
Test: 63 =  2*31 +  1 passed
Test: 63 =  3*21 +  0 passed
Test: 63 =  4*15 +  3 passed
Test: 63 =  5*12 +  3 passed
Test: 63 =  6*10 +  3 passed
Test: 63 =  7* 9 +  0 passed
Test: 63 =  8* 7 +  7 passed
Test: 63 =  9* 7 +  0 passed
Test: 63 = 10* 6 +  3 passed
Test: 63 = 11* 5 +  8 passed
Test: 63 = 12* 5 +  3 passed
Test: 63 = 13* 4 + 11 passed
Test: 63 = 14* 4 +  7 passed
Test: 63 = 15* 4 +  3 passed
$finish called at time : 81930 ns : File "C:/Users/oscar/Coding Projects/CSULB/CECS 361 FALL 2020/Lab 4/Lab 4.srcs/sim_1/new/Iter_Div_tb.v" Line 43
